"","date_task","Analysing results","Brainstorming","Collecting data / running assays","Developing protocols","Education / outreach event","Education event","Hardware development","Interpreting results","Lab maintenance","Meetups","No iGEM work","Planning tasks","Preparing samples","Project administration","Reading papers or other material","Safety management","Software development","Team meetings","Writing / preparing presentations"
"1","2020-06-22",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"2","2020-06-29",0,1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0
"3","2020-07-06",0,4,0,1,3,2,0,0,0,7,1,4,0,0,0,0,0,11,0
"4","2020-07-13",0,2,0,0,22,24,0,0,0,7,0,0,0,0,0,0,0,10,1
"5","2020-07-20",0,4,0,0,1,0,0,0,0,4,0,5,0,0,2,0,0,9,2
"6","2020-07-27",0,3,0,0,2,0,0,0,0,3,0,6,0,2,2,0,0,18,1
"7","2020-08-03",2,5,1,2,2,1,0,2,2,4,1,7,2,0,0,0,1,13,0
"8","2020-08-10",0,10,1,0,3,0,0,0,0,11,7,13,0,6,3,1,2,23,10
"9","2020-08-17",1,12,1,1,10,4,3,0,1,14,2,19,1,2,2,0,1,25,4
"10","2020-08-24",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"11","2020-09-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
