username,is_registered,team_name,country,longest_streak,current_streak,nb_phones,os
2486,false,Alma,United States,0,0,0,unknown
2484,false,Alma,United States,0,0,0,unknown
2483,false,Alma,United States,0,0,0,unknown
2482,false,Alma,United States,0,0,0,unknown
2481,false,Alma,United States,0,0,0,unknown
2480,false,Alma,United States,0,0,0,unknown
2479,false,Alma,United States,0,0,0,unknown
2478,false,Alma,United States,0,0,0,unknown
2477,false,Alma,United States,0,0,0,unknown
2476,false,Alma,United States,0,0,0,unknown
2475,false,Alma,United States,0,0,0,unknown
2474,false,Alma,United States,0,0,0,unknown
2473,false,Alma,United States,0,0,0,unknown
2389,true,Alma,United States,2,0,1,android
2380,true,Alma,United States,1,0,0,unknown
2495,false,Alma,United States,0,0,0,unknown
2494,false,Alma,United States,0,0,0,unknown
2493,false,Alma,United States,0,0,0,unknown
2492,false,Alma,United States,0,0,0,unknown
2491,false,Alma,United States,0,0,0,unknown
2490,false,Alma,United States,0,0,0,unknown
2489,false,Alma,United States,0,0,0,unknown
2488,false,Alma,United States,0,0,0,unknown
2487,false,Alma,United States,0,0,0,unknown
2485,false,Alma,United States,0,0,0,unknown
2625,false,BITSPilani-Goa_India,India,0,0,0,unknown
138,true,BITSPilani-Goa_India,India,0,0,1,android
146,false,BITSPilani-Goa_India,India,0,0,0,unknown
145,false,BITSPilani-Goa_India,India,0,0,0,unknown
144,false,BITSPilani-Goa_India,India,0,0,0,unknown
143,false,BITSPilani-Goa_India,India,0,0,0,unknown
142,false,BITSPilani-Goa_India,India,0,0,0,unknown
141,false,BITSPilani-Goa_India,India,0,0,0,unknown
140,false,BITSPilani-Goa_India,India,0,0,0,unknown
139,false,BITSPilani-Goa_India,India,0,0,0,unknown
137,false,BITSPilani-Goa_India,India,0,0,0,unknown
136,false,BITSPilani-Goa_India,India,0,0,0,unknown
135,false,BITSPilani-Goa_India,India,0,0,0,unknown
134,false,BITSPilani-Goa_India,India,0,0,0,unknown
462,false,Estonia_TUIT,Estonia,0,0,0,unknown
2959,false,Estonia_TUIT,Estonia,0,0,0,unknown
470,false,Estonia_TUIT,Estonia,0,0,0,unknown
469,false,Estonia_TUIT,Estonia,0,0,0,unknown
468,false,Estonia_TUIT,Estonia,0,0,0,unknown
467,false,Estonia_TUIT,Estonia,0,0,0,unknown
464,false,Estonia_TUIT,Estonia,0,0,0,unknown
465,true,Estonia_TUIT,Estonia,2,2,0,unknown
2386,true,Estonia_TUIT,Estonia,0,0,1,android
2945,false,Estonia_TUIT,Estonia,0,0,0,unknown
2400,true,Estonia_TUIT,Estonia,1,0,0,unknown
2946,false,Estonia_TUIT,Estonia,0,0,0,unknown
2947,false,Estonia_TUIT,Estonia,0,0,0,unknown
